Tweet_Id,Datetime,Text,Likes,Retweets,Location
1598466117835841537,2022-12-01 23:56:35+00:00,"@redwhiskeypete It's disguisting just as the groomer teachers, woke virtue signaling men dressed in striptease dancing for $$ in front of kids is disguisting. Balenciaga &amp; all the celebs who haven't spoke out about it are disguisting &amp; anybody pointing this our without the other is disguisting",0,0,Everywhere
1598466069894660099,2022-12-01 23:56:23+00:00,"@chesterbelloc3 Why would you translate someone's name?. Balenciaga is a Spanish surname. The surname of a man called Cristóbal Balenciaga, who was an excellent couturier, and would probably turn in his tumb if he knew what they made of his Maison.",0,0,
1598466035140726784,2022-12-01 23:56:15+00:00,@DrywoodTermite @MarvelStudios You're sponsored by Balenciaga so yeah you will watch ...,0,0,
1598466027867734016,2022-12-01 23:56:13+00:00,Alex talks scripture pretty often. It's not that crazy. Lol he is preaching god's word while also wearing a Balenciaga gimp mask. But you do you man.,0,0,"Ohio, USA"
1598466022419607552,2022-12-01 23:56:12+00:00,people swear they care so much about the issue yet some of their favorite artists work w balenciaga as well yet those artists aren’t getting dragged through the mud? y’all b picking and choosing and it shows,1,0,
1598466014127308801,2022-12-01 23:56:10+00:00,Who got the Balenciaga for the 75% off??,1,0,Podcast
1598466007789608960,2022-12-01 23:56:08+00:00,"@RealUnsweetDee @GathererSkull It's Spanish. Cristobal Balenciaga was Spanish. We're talking about manipulating the name so that it translates(according to Google translate which sucks btw) to a couple of satanic phrases in some weird and not well known African languages. It's dumb.

https://t.co/95TvRE9vGM",3,0,
1598465982322085888,2022-12-01 23:56:02+00:00,@xbtGBH He says all that while he wears a balenciaga mask tho…,0,0,Kickin It With A Paraplegic
1598465957651177472,2022-12-01 23:55:57+00:00,"@MikhailaFuller Alexis Hellmer, probably one of the finest Latinists in the Americas always says not to use Google Translate for Latin. It's really bad. But I'm not saying that balenciaga isn't evil 👍
https://t.co/zExiLSsJ7m",0,0,Los Angeles
1598465938130608130,2022-12-01 23:55:52+00:00,"@kanyewest4usa why put on Balenciaga boots when we standing with you on boycotting Balenciaga, against child exploitation. I Was ready to burn all my Balenciaga outfits. Appreciate your courage",0,0,
1598465930547306499,2022-12-01 23:55:50+00:00,@RonFilipkowski Attacking kid now?  I bet you look balenciaga ads “in your spare time”,0,0,"North East, USA"
1598465910771269634,2022-12-01 23:55:45+00:00,@TheBabylonBee Of course Baal responds before Balenciaga 😂 keep up the good work Bee 👍,1,0,
1598465910071001088,2022-12-01 23:55:45+00:00,Balenciaga? Not up in here. https://t.co/wXldyP8dd4,1,0,
1598465898033152000,2022-12-01 23:55:42+00:00,Why haven’t you tweeted about Balenciaga?,2,0,
1598465889032101898,2022-12-01 23:55:40+00:00,@KimKardashian @SnoopDogg I would never trust any child to go model for you after your balenciaga shit,0,0,
1598465871915397120,2022-12-01 23:55:36+00:00,"@Frank94147822 @robsmithonline @PrisonPlanet Umm if Balenciaga didn't DROP him, would he still be talking like this? Interesting.",0,0,"Los Angeles, CA"
1598465858325692416,2022-12-01 23:55:33+00:00,Baal Distances Self From Balenciaga https://t.co/KUinjcODKf via @TheBabylonBee,1,0,Texas
1598465837182115842,2022-12-01 23:55:28+00:00,The images themselves involving children were just so uncomfortable to look at. The lack of outrage is actually appalling. And throwing balenciaga merch away is definitely justified.,0,0,Venus
1598465830743859205,2022-12-01 23:55:26+00:00,"I hadn’t seen the ads that Balenciaga put out so I was kind of indifferent and thought maybe it was blown out of proportion. Like purging their merch is excessive.

I thought they couldn’t possibly do something THAT messed up, right?",0,0,Venus
1598465829997543424,2022-12-01 23:55:26+00:00,@minakimes @woodypaige Everybody LOVES doggong up old stuff but stay silent on Balenciaga.  It was like 70 years ago. His QB is Black.,2,0,"Grants Pass, OR"
1598465803824861184,2022-12-01 23:55:20+00:00,@MabsVacation @ZubyMusic @khendriix_ And est not forget his get up. He was wearing a balenciaga gimp mask. Now what has been in the news as of late? And I swear I am hoping he claims it wasn't even him lol,1,0,Lehigh Valley
1598465791539777537,2022-12-01 23:55:17+00:00,@catturd2 @gatewaypundit Balenciaga stunt?,0,0,"Texas, USA"
1598465777824587777,2022-12-01 23:55:14+00:00,@harpersbazaarus How many time did HB put balenciaga ads in their ragmag?,0,0,
1598465776729702400,2022-12-01 23:55:13+00:00,"Yall, dont burn ur Balenciaga, give it to me .",1,0,Beyoncés basement
1598465773223424001,2022-12-01 23:55:13+00:00,@SharonCoryell3 @kanyewest @ali Loooolz Balenciaga with their child exploitation campaigns,1,0,
1598465757746270209,2022-12-01 23:55:09+00:00,"I’ll admit the Balenciaga shit was weird, but be fucking fr 😭😭",0,0,"Port Arthur, TX"
1598465747319414785,2022-12-01 23:55:06+00:00,@barnes_law Whilst wearing Balenciaga. Nice.,0,0,"Australia, USA"
1598465689748000768,2022-12-01 23:54:53+00:00,There has been new developments in the atelier of Balenciaga and there could be exciting things coming to the runway. Knitwear is being changed for the better. I look forward to seeing their new line of suits in New York this Spring. Check out their website for more information! https://t.co/cqvOK1KiDx,0,0,
1598465672639569925,2022-12-01 23:54:49+00:00,"But if you read the piece, it's easy to see why Balenciaga might want to push transgressive boundaries. It sells with their base.

This is a nihilistic, spoilt generation, and it craves the darkness of apocalypse, as heedless children crave scary movies. https://t.co/JMY5SUse6Y",2,0,
1598465622475935744,2022-12-01 23:54:37+00:00,"Interesting how all #fakenews from 1/2/3 years ago now seems pretty on point, no?

Do you know #LottaVolkova? You should. 

Just like the #Pinault of #Kering. 

#Balenciaga #BalenciagaGate",0,0,"Davos, Switzerland"
1598465526917103616,2022-12-01 23:54:14+00:00,@damn_sp33dy @urklespaces @YCLAyyDee @DailyLoud Giving it away is still promotion for balenciaga cause someone else is wearing it. Burning it is better,0,0,
1598465516779474945,2022-12-01 23:54:11+00:00,"@TheCriticalDri2 The fact that James Gunn was rehired after this is all you need to know about Marvel / Disney. I'm basically waiting to here about their new partnership with Balenciaga any day now.
https://t.co/4XhDZPGmUT",6,0,
1598465453810225154,2022-12-01 23:53:56+00:00,So we’ve finally agreed to bin off Balenciaga? About time with their Tetris trainers.,0,0,"London, England"
1598465453319491587,2022-12-01 23:53:56+00:00,"@DarnelSugarfoo The mask and gloves are Balenciaga, from what I hear.",1,0,In your ass
1598465447162167304,2022-12-01 23:53:55+00:00,"@Jmsn_Crpntr looks like Balenciaga 🧐
they do that crazy mask thing remember Kim k wore it to met gala and their daughter wore one too it's sick bdsm stuff I guess, that's what I read on twitter anyway",1,0,
1598465365016723457,2022-12-01 23:53:35+00:00,"Balenciaga is bad, the mannequins are horrific to even look at https://t.co/xVsZRkgenv",268,68,Refugee in Communist Canada 
1598465336784863234,2022-12-01 23:53:28+00:00,Wake Up -- Balenciaga Is What's Coming https://t.co/4Tslr7lek6,0,0,
1598465336181157888,2022-12-01 23:53:28+00:00,"@305Independent @notnotanna Correct. #Balenciaga mask and #Vetements jacket. Vetements founder is #DemnaGvasalia, creative director of Balenciaga. https://t.co/Qbw6pO27Ai",0,0,
1598465283982852096,2022-12-01 23:53:16+00:00,"@MIAuniverse Very few are left just like the WW2 vets. It’s all so real from so many angles. Balenciaga, Ukraine, FTX etc. the common theme is these awful dems running the show",0,0,"Flavor Town, USA"
1598465239724748800,2022-12-01 23:53:05+00:00,"@shirenjoyr @GathererSkull Yes that was legit. But it's a stretch and a half to think that Cristobàl Balenciaga's ancestor chose a name that, when manipulated, might translate to something satanic in a random African language.",2,0,
1598465219382108166,2022-12-01 23:53:01+00:00,"@MiaFarrow Mia u r just embarrasing yourself. You live in a bubble with no issues like the rest of us, so of course u r happy with this oldie. Why you haven’t say nothing about Balenciaga considering u r daughter was victim of abuse too?",0,0,
1598465218203766785,2022-12-01 23:53:00+00:00,Funniest part about all this @balenciaga stuff is that mfs really thought they looked cool with those ugly Dino stompers on! 🤡🤡🤡🤡,0,0,#VegastoLA
1598465195130892289,2022-12-01 23:52:55+00:00,@V6nSilver Thank you for this. Shame on Balenciaga.,0,0,"St. Louis, MO"
1598465156971122689,2022-12-01 23:52:46+00:00,@robsmithonline Now is it a wonder that Kim and Ye both love and represent #Balenciaga.,0,0,
1598465138352394245,2022-12-01 23:52:41+00:00,Post all this Balenciaga and Epstein stuff...was Isaac Kappy right about all the famous people he named?🤔,0,0,Coventry UK
1598465120933478408,2022-12-01 23:52:37+00:00,people giving kim flack for the balenciaga thing.. sorry to tell you this as i know you hate her so very much but none of this is her fault and this is a way bigger problem than her wearing a mask,1,0,she/they • england 
1598465084497743874,2022-12-01 23:52:28+00:00,"@TheDailyEdge Guess what. That's dusguisting, he belongs in prison 100% &amp; I believe that all pedophiles should be castrated. I just don't see any of your articles about all the woke virtue signaling Balenciaga pedophile weird men dressed as women strippers for kids???",0,0,Everywhere
1598465075685511170,2022-12-01 23:52:26+00:00,Tucker exposes Balenciaga scandal to millions of Americans... https://t.co/9CRMKjcMPG,379,145,Best news site on interwebs.
1598465068379041792,2022-12-01 23:52:25+00:00,@TRHLofficial You know I was actually doing research on the word this week. I should have known to use Latin. This is further proof that #Balenciaga is run by pedophiles &amp; satanist. Baal is an ancient 'god' of the Phoenicians &amp; Canaanites. Followers use to scarifice children to this 'deity'.,0,0,
1598465046753210370,2022-12-01 23:52:19+00:00,why is nobody pressing playboi carti over balenciaga but they’re all over kim k’s ass over it? hypocrites i swear,0,1,
1598465030160519170,2022-12-01 23:52:15+00:00,Stop child abuse!! Boycott #Balenciaga,0,0,
1598464979639861248,2022-12-01 23:52:03+00:00,@robsmithonline @JennaEllisEsq Kim’s quiet because she is no better than Balenciaga.   She doesn’t have any issues with them.  SMH,0,0,
1598464978519982081,2022-12-01 23:52:03+00:00,"@debunker Take that weirdness up with Google. Seems like one of the biggest corporations on earth should have better working, more accurate products! Btw don’t you find it odd that Balenciaga would associate their brand with a demon like Baal by putting BAALENCIAGA on tape for an ad?",12,2,"Nashville, TN"
1598464967329595393,2022-12-01 23:52:00+00:00,@joncoopertweets It's no surprise when he's hanging out with the likes of bloody doll Balenciaga model Lotta Volkova.,0,0,"Balbriggan, Co.Dublin,Ireland."
1598464952389730305,2022-12-01 23:51:57+00:00,Balenciaga scandal: Luxury fashion brand under fire for promoting child pornography https://t.co/wTcRKZLcTJ via @RebelNewsOnline,0,0,
1598464952167452672,2022-12-01 23:51:57+00:00,"Lmao what an excuse. This is literally the same as : My nephew had my phone it wasn't me.
#Balenciagapedos #balenciaga https://t.co/7bmrmW7odA",0,0,istanblue
1598464949436964864,2022-12-01 23:51:56+00:00,@KimKardashian @SKKN Did you cut ties with Balenciaga? If not why not? I don't think anybody should buy anything from you until you talk about this.,37,1,"California, USA"
1598464924963213312,2022-12-01 23:51:50+00:00,"@Anon02511521 Because Adidas are garbage. And I’m not sure. I assume it has to do with contracts that need to be terminated. Breaking contracts could come with loads of legal issues. Regardless, she needs to do more and I’ve talked about Balenciaga. This was just a tweet about something else.",1,0,she/her
1598464899293872130,2022-12-01 23:51:44+00:00,@salmahayek @Expedia Shame on you #BalenciagaGate #BalenciagaPedofilia #Balenciaga,0,0,Scotland 
1598464896009916416,2022-12-01 23:51:43+00:00,@JackPosobiec @getthenet145 Did you hear about the Balenciaga boots Michele Obama has?,0,0,
1598464867572551680,2022-12-01 23:51:37+00:00,@KimKardashian @SnoopDogg SnoopDogg? Now? on the heels of Balenciaga? Think about keeping better company.,0,0,
1598464850321199104,2022-12-01 23:51:33+00:00,"@MatthewKadish The world is fucked right about now and Kanye isnt the one who’s fucking it. Same banks cutting him off for saying “bad things” haven’t done shit to Balenciaga. I do know mentioning him gets you clicks and engagement, mentioning pedo elites makes you suddenly insane.",0,0,
1598464773615587333,2022-12-01 23:51:14+00:00,Did she cuts ties with Balenciaga yet? No? Why would you feel bad for her?,0,0,"South Meriden, CT"
1598464718100107264,2022-12-01 23:51:01+00:00,Instead of saying she's cutting ties with Balenciaga she post a picture of her child. What about the children in the disgusting photo shoot Kim?,1,0,"California, USA"
1598464713792393218,2022-12-01 23:51:00+00:00,"I'm not responding to anymore people who can't read what I said. I don't care what Kim has to say about anything. 
I'm angry that the Right demanded she condemn Balenciaga but aren't the least bit concerned about his Jew Hate. If you can't comprehend my tweet, that's on you",32,3,"Outside Philly,  USA"
1598464708440465408,2022-12-01 23:50:59+00:00,@jakeshieldsajj Kanye is using it as bait to show how the  “im not gonna say who owns it “media will highlight this but not balenciaga crap,18,3,
1598464684084318208,2022-12-01 23:50:53+00:00,@MrEvanRoss @RGIII @KimKardashian Shocking.  The remphan Ukraine guy wants to take Kanye’s kids away and give them solely to Queen Balenciaga.  Keep proving him right.,2,0,Third Coast
