Tweet_Id,Datetime,Text,Likes,Retweets,Location,Cancel,Pedophilia,QAnon,Clean_tweets,Processed_tweets,Sentiment
1598449757680439296,2022-12-01 22:51:34+00:00,"Alan Fountain Discusses Balenciaga ""Super Brand"" Goes To ""Pedo Brand"" with Nicholas Veniamin https://t.co/BNiBOONHyZ via @BitChute",0,0,"Trinidad, CO",0,0,0,alan fountain discusses balenciaga super brand goes to pedo brand with nicholas veniamin httpstcobniboonhyz via ,alan fountain discus super brand go pedo brand nicholas veniamin httpstcobniboonhyz via,Other
1598449753746214912,2022-12-01 22:51:33+00:00,"@ZubyMusic This is why people shouldn't be deplatformed. That way their views can be brought to light for people to see and dismiss etc. 

Side note the same guy who had strong feelings on Balenciaga wears a Balenciaga gimp mask. The fuck?",0,0,🌎,0,0,0, this is why people shouldnt be deplatformed that way their views can be brought to light for people to see and dismiss etc side note the same guy who had strong feelings on balenciaga wears a balenciaga gimp mask the fuck,people shouldnt deplatformed way view brought light people see dismiss etc side note guy strong feeling wear gimp mask fuck,Other
1598449729435738112,2022-12-01 22:51:27+00:00,Ye goes on Alex Jones wearing a Balenciaga mask saying THE outrageous thing. Trying to figure out how he could draw more attention without lighting himself on fire.,0,0,Other,0,0,0,ye goes on alex jones wearing a balenciaga mask saying the outrageous thing trying to figure out how he could draw more attention without lighting himself on fire,ye go alex jones wearing mask saying outrageous thing trying figure could draw attention without lighting fire,Other
1598449727917658112,2022-12-01 22:51:27+00:00,@DonaldJTrumpJr Not even close.  Balenciaga has gotten way more backlash.  Would not have even remembered Goya if you hadn't brought it up.  Do you know how to read??,0,0,Other,0,0,0, not even close balenciaga has gotten way more backlash would not have even remembered goya if you hadnt brought it up do you know how to read,even close gotten way backlash would even remembered goya hadnt brought know read,Other
1598449727334658049,2022-12-01 22:51:27+00:00,"@KimKardashian @SnoopDogg Tell us she won't ever work with Balenciaga again, and maybe we will buy some.",0,0,"Hawaiian Paradise Park, HI",0,0,0,  tell us she wont ever work with balenciaga again and maybe we will buy some,tell u wont ever work maybe buy,Other
1598449586917740544,2022-12-01 22:50:53+00:00,👋🏾👀😱Why Balenciaga's Lawsuit is Bs &amp; Why Nicole Kidman &amp; Madonna Ride for Th... https://t.co/iTvRaeiXv3 via @YouTube,0,0,"Dallas, Texas",0,0,0,👋🏾👀😱why balenciagas lawsuit is bs  why nicole kidman  madonna ride for th httpstco via ,👋🏾👀😱why balenciaga lawsuit b nicole kidman madonna ride th httpstco via,Other
1598449576968880128,2022-12-01 22:50:51+00:00,@DonaldJTrumpJr That’s just untrue. I’ve seen WAY more outrage toward Balenciaga than I did toward Goya. The Goya shit lasted like two days. I’ve seen bipartisan Balenciaga outrage for weeks now,0,0,Other,0,0,0, that’s just untrue i’ve seen way more outrage toward balenciaga than i did toward goya the goya shit lasted like two days i’ve seen bipaisan balenciaga outrage for weeks now,that’s untrue i’ve seen way outrage toward toward goya goya shit lasted like two day i’ve seen bipaisan outrage week,Other
1598449540855746572,2022-12-01 22:50:42+00:00,Everyone is talking about #Ye comments and still not a peep about Balenciaga!,0,0,Up Your Ass!,0,0,0,everyone is talking about ye comments and still not a peep about balenciaga,everyone talking ye comment still peep,Other
1598449483519606784,2022-12-01 22:50:29+00:00,"FUCK Balenciaga. If you still wear / cop there shit, you’re a mug",0,0,Other,0,0,0,fuck balenciaga if you still wear  cop there shit you’re a mug,fuck still wear cop shit you’re mug,Other
1598449437407596544,2022-12-01 22:50:18+00:00,"@KimKardashian Too follow on to my comment .  This is so sick , Kanye it’s time to come get your kids !!! This is worrying as hell !!!! #Balenciaga #KimKardashian #ProtectTheKids https://t.co/6v5ADfPQcB",2,0,Other,0,0,0, too follow on to my comment  this is so sick  kanye it’s time to come get your kids  this is worrying as hell  balenciaga kimkardashian protectthekids httpstco,follow comment sick kanye it’s time come get kid worrying hell kimkardashian protectthekids httpstco,Other
